trialsType,trialsNum,trialNum,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,instr1.started,instr1.stopped,fix.started,fix.stopped,trial1Mouse.x,trial1Mouse.y,trial1Mouse.leftButton,trial1Mouse.midButton,trial1Mouse.rightButton,trial1Mouse.time,trial1Mouse.started,trial1Mouse.stopped,step,targetangle_deg,trial1Target.started,trial1Target.stopped,trial1Home.started,trial1Home.stopped,trial1Cursor.started,trial1Cursor.stopped,trial1Num.started,trial1Num.stopped,trial2Mouse.x,trial2Mouse.y,trial2Mouse.leftButton,trial2Mouse.midButton,trial2Mouse.rightButton,trial2Mouse.time,trial2Mouse.started,trial2Mouse.stopped,trial2Target.started,trial2Target.stopped,trial2Home.started,trial2Home.stopped,trial2Cursor.started,trial2Cursor.stopped,trial2Num.started,trial2Num.stopped,trial2Text.started,trial2Text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,1,0,0,0,0,,,,,11.416874499991536,None,13.264308100100607,None,"[-0.4401041666666667, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125]","[0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.011720800073817372, 0.025474400026723742, 0.04249450005590916, 0.0591280001681298, 0.07579460018314421, 0.09305020002648234, 0.10908920015208423, 0.12570139998570085]",14.345032700104639,None,"[1, 1, 1, 1, 1, 1, 1, 1]",40,14.345032700104639,None,14.345032700104639,None,14.345032700104639,None,14.345032700104639,None,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_25_1949,pAdaptTest4,2020.1.3,59.92362134268617,
1,1,2,0,1,1,1,,,,,,,,,"[-0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125]","[0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.005066199926659465, 0.01628410001285374, 0.040545100113376975, 0.05815179995261133, 0.07472250005230308, 0.091511300066486, 0.10809340002015233, 0.12473609996959567, 0.14140630001202226, 0.15805840003304183, 0.17466089990921319, 0.1913689998909831, 0.20806180010549724, 0.2246820000000298, 0.24129589996300638, 0.2580244999844581, 0.2746025000233203, 0.2917071001138538]",14.470192400040105,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50,14.470192400040105,None,14.470192400040105,None,14.470192400040105,None,14.470192400040105,None,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_25_1949,pAdaptTest4,2020.1.3,59.92362134268617,
1,1,3,0,2,2,2,,,,,,,,,"[-0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125]","[0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.005194500088691711, 0.017270900076255202, 0.04157870006747544, 0.05962079996243119, 0.07562660006806254, 0.09233090002089739, 0.10903330007568002, 0.1256462000310421, 0.14228640007786453, 0.15894529991783202, 0.17562399990856647, 0.1922603000421077, 0.20892879995517433, 0.22600180003792048]",14.770038000075147,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",40,14.770038000075147,None,14.770038000075147,None,14.770038000075147,None,14.770038000075147,None,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_25_1949,pAdaptTest4,2020.1.3,59.92362134268617,
1,1,4,0,3,3,3,,,,,,,,,"[-0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125]","[0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.005061999894678593, 0.016876599984243512, 0.0409194000530988, 0.05851890007033944, 0.0758050000295043, 0.09176800004206598, 0.10842190007679164, 0.12507089995779097, 0.14180690003558993, 0.15837100008502603, 0.1751168998889625, 0.1917419999372214, 0.20882679987698793]",15.003501600120217,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50,15.003501600120217,None,15.003501600120217,None,15.003501600120217,None,15.003501600120217,None,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_25_1949,pAdaptTest4,2020.1.3,59.92362134268617,
1,1,5,0,4,4,4,,,,,,,,,"[-0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125]","[0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00787329999729991, 0.01942959986627102, 0.04193669999949634, 0.05949199991300702, 0.07610259996727109, 0.09282839996740222, 0.10947789996862411, 0.12614429998211563, 0.14270989992655814, 0.159421700052917, 0.1760807998944074, 0.19275479996576905, 0.209787999978289]",15.221759299980476,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",40,15.221759299980476,None,15.221759299980476,None,15.221759299980476,None,15.221759299980476,None,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_25_1949,pAdaptTest4,2020.1.3,59.92362134268617,
1,1,6,0,5,5,5,,,,,,,,,"[-0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125]","[0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00463780015707016, 0.01635859999805689, 0.041453600162640214, 0.05890540010295808, 0.07548190001398325, 0.09218750009313226, 0.10886749997735023, 0.12550140009261668, 0.14219240006059408, 0.15886470000259578, 0.17556430003605783, 0.19221380003727973, 0.20883630006574094, 0.22550840000621974, 0.24219600018113852]",15.435962199931964,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50,15.435962199931964,None,15.435962199931964,None,15.435962199931964,None,15.435962199931964,None,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_25_1949,pAdaptTest4,2020.1.3,59.92362134268617,
1,1,7,0,6,6,6,,,,,,,,,"[-0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125]","[0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.007954299915581942, 0.01920320000499487, 0.04201649990864098, 0.059534099884331226, 0.07609679992310703, 0.09280400001443923, 0.11004299996420741, 0.1261507999151945, 0.14274559984914958, 0.15946879982948303, 0.17608330002985895, 0.19281769986264408, 0.20943909999914467, 0.22611679998226464, 0.2427572999149561]",15.688496100017801,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",40,15.688496100017801,None,15.688496100017801,None,15.688496100017801,None,15.688496100017801,None,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_25_1949,pAdaptTest4,2020.1.3,59.92362134268617,
1,1,8,0,7,7,7,,,,,,,,,"[-0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125]","[0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.003750600153580308, 0.015288500115275383, 0.02733720000833273, 0.04338410007767379, 0.05997840012423694, 0.07668530009686947, 0.09387530013918877, 0.10999809997156262, 0.12664659996517003, 0.14330330002121627, 0.1598873999901116, 0.17660730006173253, 0.19326680013909936, 0.20992509997449815, 0.22660159994848073, 0.24402820016257465]",15.933523500105366,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50,15.933523500105366,None,15.933523500105366,None,15.933523500105366,None,15.933523500105366,None,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_25_1949,pAdaptTest4,2020.1.3,59.92362134268617,
1,1,9,0,8,8,8,,,,,,,,,"[-0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125]","[0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.004669599933549762, 0.01622179988771677, 0.0411722999997437, 0.05859869997948408, 0.07525280001573265, 0.09265799983404577, 0.10860189981758595, 0.12524620001204312, 0.14203160000033677, 0.15900569991208613, 0.17653159983456135, 0.1920529999770224, 0.20857049990445375, 0.22516429983079433, 0.2418602998368442, 0.258562000002712, 0.275193199981004, 0.2918789000250399, 0.30854009999893606, 0.32517179986461997, 0.34190259990282357, 0.35851609986275434, 0.3752148998901248]",16.185771899996325,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",40,16.185771899996325,None,16.185771899996325,None,16.185771899996325,None,16.185771899996325,None,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_25_1949,pAdaptTest4,2020.1.3,59.92362134268617,
1,1,10,0,9,9,9,,,,,,,,,"[-0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125, -0.4453125]","[0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668, 0.029947916666666668]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.008877799846231937, 0.020238999975845218, 0.04232229990884662, 0.06023780000396073, 0.07644500001333654, 0.09306339989416301, 0.11030389997176826, 0.12633569980971515, 0.1430748999118805, 0.15969199989922345, 0.17639009980484843, 0.1929965999443084, 0.20964419981464744, 0.2266241000033915, 0.2430916999001056, 0.25983569980598986, 0.2763926999177784, 0.29306749999523163, 0.3097178000025451, 0.32751139998435974]",16.571692199911922,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50,16.571692199911922,None,16.571692199911922,None,16.571692199911922,None,16.571692199911922,None,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_25_1949,pAdaptTest4,2020.1.3,59.92362134268617,
